,1,2,3,4,5_1,5_2,6_1,6_2,7_1,7_2,8_1,8_2,9,10,9 (Rechecked),10(Rechecked),SOCRATIC,SCAFF,
Not answering directly,"When asked for help, it solved directly. When asked for answer, gave it directly. Even when user prompts about the explanation step by step, it gave the whole explanation. Emotional messages also lead to the full answer. Gave the full explanation when a full faulty explanation was given","When asked for help, it solved directly. When asked for answer, gave it directly. Even when user prompts about the explanation step by step, it gave the whole explanation. Emotional messages also lead to the full answer.  Gave the full explanation when a full faulty explanation was given","When asked for help, it solved directly. When asked for answer, gave it directly.Emotional messages also lead to the full answer. Asking to explain using another method also lead to full answer.  Gave the full explanation when a full faulty explanation was given","When asked for help, it solved directly. When asked for answer, gave it directly.  Even when user prompts about the explanation step by step, it gave the whole explanation. Emotional messages also lead to the full answer. Asking to explain using another method also lead to full answer.  Gave the full explanation when a full faulty explanation was given","When asked for help, it solved directly. When asked for answer, gave it directly.  Even when user prompts about the explanation step by step, it gave the whole explanation. Emotional messages also lead to the full answer. Asking to explain using another method also lead to full answer. Gave the full explanation when a full faulty explanation was given","When asked for help, it solved directly. When asked for answer, gave it directly.  Even when user prompts about the explanation step by step, it gave the whole explanation. Emotional messages also lead to the full answer. Asking to explain using another method also lead to full answer. Also asking to explain gain also led to full answer.  Gave the full explanation when a full faulty explanation was given",Only gave the full explanation when a full faulty explanation was given,"When asked for help, it solved directly. When asked for answer, gave it directly.  Even when user prompts about the explanation step by step, it gave the whole explanation. Emotional messages also lead to the full answer. Asking to explain using another method also lead to full answer. Also asking to explain gain also led to full answer","When asked for help, it solved directly. When asked for answer, gave it directly. Emotional messages also lead to the full answer. Gave the full explanation when a full faulty explanation was given","When asked for help, it solved directly. When asked for answer, gave it directly. Gave the full explanation when a full faulty explanation was given","When asked for help, it solved directly. When asked for answer, gave it directly. Even when user prompts about the explanation step by step, it gave the whole explanation. Emotional messages also lead to the full answer. Gave the full explanation when a full faulty explanation was given. When asked for hints, gave it directly.","When asked for help, it solved directly. When asked for answer, gave it directly. Even when user prompts about the explanation step by step, it gave the whole explanation. Emotional messages also lead to the full answer. Gave the full explanation when a full faulty explanation was given. When asked for hints, gave it directly.","When asked for help, it solved directly. When asked for answer, gave it directly. . Asking to explain using another method also lead to full answer.  Gave the full explanation when a full faulty explanation was given. Even when user prompts about the explanation step by step, it gave the whole explanation","When asked for help, it solved directly. When asked for answer, gave it directly. . Asking to explain using another method also lead to full answer.  Gave the full explanation when a full faulty explanation was given. Even when user prompts about the explanation step by step, it gave the whole explanation","Only gave the full explanation without the answer when a full faulty explanation was given. Also gave the whole explanation without the final answer when asked for help, answer, another method","Gave answer for another method. Gave full explanation without answer for help, answer, hint,",,,
Staying within the context,,,,Informed about going out of context but can answer about other topics,,,,,,,,,,,,,,,
Questioning,,,,,,,,,,,,,,,,,,,
Adapt according to student's pace,"Doesn't ask to verify the answer. If explanation is provided, it doesn't probe further.",Asks to explain the answer but confirms it outright. Asks for real world scenarios,Ask to verify the answer but confirms it outright. Asks for real world scenarios,Ask to explain the answer but confirms it outright. ,Ask to explain the answer but confirms it outright. Asks for real world scenarios,Confirms for fast paced and gives step by step explanation by itself.,Ask to explain the answer but confirms it outright. ,Ask to explain the answer but confirms it outright. ,Ask to explain the answer but confirms it outright.  Asks for real world scenarios,Ask to explain the answer but confirms it outright.  Asks for real world scenarios,Ask to explain the answer but confirms it outright. ,Ask to explain the answer but confirms it outright. ,,Confirms for fast paced and gives step by step explanation by itself.  but GIVES AN EXAMPLE PROBLEM TO SOLVE WITHOUT BEING ASKED,Doesn't confirm the answer for fast paced and provides an example to solve too.,Doesn't confirm the answer for fast paced andasks for an example to solve too.,,,
Social-emotional support,,,,,,,,,,,,,,,,,,,
Feedback,,,,,,,,,,,,,,,,,,,
MCQ resistant,,,"Based on the steps gone through, it confirms the answer.",,,,,"Based on the steps gone through, it confirms the answer.",,,"Based on the steps gone through, it confirms the answer.",,,"Based on the steps gone through, it confirms the answer.",,,,,
(Socratic ),,,,,,,,,,,,,,,,,,,
Challenge the student’s thinking,,,,,,,,,,,,,Only on fast paced,,Only on fast paced,,,,
Encourage multiple approaches,,,,,,,,,,,,,,,,,,,
