question_id,image_filename,Marks,solution_image_id,solve_text,subject
1,1002.jpg,2.0,1001.0,"ছেদবিন্দু নির্ণয়: x² + ax = 4ax ⇒ x = 0,3a; y = 0,± √3a

ক্ষেত্রফল = 2 \int_0^{3a} (\sqrt{4ax} - x^2 - \sqrt{ax}) dx

= 2 \int_0^{3a} (\sqrt{4a^2 - (x - 2a)^2} - \sqrt{ax}) dx

= 2 × [\frac{x - 2a}{2}\sqrt{4ax - x^2} + \frac{1}{2} \times (2a)^2 \times sin^{-1}\frac{x - 2a}{2a} - \frac{2}{3}\sqrt{ax^3}]_0^{3a}

= 2 × (\frac{a}{2} \times \sqrt{3a} + 2a^2 \times \frac{\pi}{6} - 2\sqrt{3a^2} + \pi a^2)

= (\frac{8\pi}{3} - 3\sqrt{3})a^2 বর্গ একক। [Ans.]

নম্বর বণ্টন:

x = 0,3a ; y = 0, ± √ 3a নির্ণয়ের জন্য ০২ নম্বর।

ক্ষেত্রফল = 2 \int_0^{3a} (\sqrt{4ax} - x^2 - \sqrt{ax}) dx নির্ণয়ের জন্য ০২ নম্বর।

ক্ষেত্রফল = (\frac{8\pi}{3} - 3\sqrt{3}) a^2 বর্গ একক নির্ণয়ের জন্য ০৬ নম্বর।",Math
3,1004.jpg,0.0,,"ধরি, বর্গাকার তলার বাহুর দৈর্ঘ্য a, পাত্রের উচ্চতা h
V = a²h = 1L = 1dm³
⇒ h = 1/a²
প্লাস্টিকের প্রয়োজন, A = a² + 4ah = a² + 4/a
dA/da = 2a - 4/a² ⇒ d²A/da² = 2 + 8/a³
2a - 4/a² = 0 হলে 2a = 4/a² ⇒ 2a³ = 4
⇒ a = ³√2 dm
d²A/da² a = ³√2 বসিয়ে d²A/da² = 2 + 8/2 = 6 > 0
∴ a = ³√2 dm এর জন্য সবচেয়ে কম প্লাস্টিক প্রয়োজন হবে।
∴ বর্গাকার তলার বাহুর দৈর্ঘ্য = ³√2 dm = 1.2599 dm (Ans.)
∴ পাত্রটির উচ্চতা = 1/(³√2)² dm = 0.6299dm(Ans.)
নম্বর বণ্টনঃ
d²A/da² = 2 + 8/a³ ; নির্ণয়ের জন্য ০২ নম্বর।
বর্গাকার তলার বাহুর দৈর্ঘ্য = 1.2599 dm ; নির্ণয়ের জন্য ০৪ নম্বর।
পাত্রটির উচ্চতা = 0.6299dm ; নির্ণয়ের জন্য ০৪ নম্বর।",Math
11,1014.jpg,0.0,1013.0,"ABCD = 4√3
Δ BCD = \frac{1}{2}absinC = \frac{1}{2} × 2 × 5 × sin60 = \frac{5\sqrt{3}}{2}
∴ ΔABD = 4√3 − \frac{5\sqrt{3}}{2} = \frac{3\sqrt{3}}{2}
এখন, \frac{1}{2}cd sinA = \frac{3\sqrt{3}}{2}
⇒ cd = \frac{3\sqrt{3}}{sin120} [A + C = 180° ⇒ A = 180 − 60 = 120°]
⇒ cd = 6
এখন, x² = a² + b² − 2abcosC = 2² + 5² − 2 × 2 × 5 cos60
⇒ x² = 19 ⇒ x = √19
আবার, x² = c² + d² − 2cd cosA
⇒ 19 = c² + d² − 2 × 6 × (−\frac{1}{2})
⇒ c² + d² = 13 ⋯⋯⋯ (i)
c² − d² = √(c² + d²)² − 4c²d² = √13² − 4.6²
= 5 ⋯⋯⋯ (ii)
(i) − (ii)
c² + d² = 13
c² − d² = 5",Math
12,1015.jpg,7.0,,"cos x − cos y = a ⇒ cos y − cos x = −a
⇒ 2sin(\frac{x+y}{2})sin(\frac{x−y}{2}) = −a......(i)
sin x − sin y = b ⇒ 2cos(\frac{x+y}{2})sin(\frac{x−y}{2}) = b......(ii)
(i) ÷ (ii) ⇒ tan(\frac{x+y}{2}) = \frac{−a}{b}
∴ sin(x + y) = \frac{2tan(\frac{x+y}{2})}{1+tan²(\frac{x+y}{2})} = \frac{\frac{−2a}{b}}{1+(\frac{−a}{b})²} = \frac{\frac{−2a}{b}}{1+\frac{a²}{b²}} = \frac{−2ab}{a²+b²}(Ans.)

নম্বর বণ্টনঃ
2sin(\frac{x+y}{2})sin(\frac{x−y}{2}) = −a ; নির্ণয়ের জন্য ০৩ নম্বর।
2cos(\frac{x+y}{2})sin(\frac{x−y}{2}) = b; নির্ণয়ের জন্য ০৩ নম্বর।
sin(x + y) = \frac{−2ab}{a²+b²}; নির্ণয়ের জন্য ০৪ নম্বর।n fore",Math
17,1022.jpg,10.0,,"Crms = √(3RT/M) = √(3 * 8.314 * 273 / (28 * 10^-3)) = 493.14 ms^-1

λ = 1 / √(2πnσ^2) = 1 / √(2π * (PNA/RT) * NA * σ^2) = 5.23 * 10^-8 m

t = λ / Crms = (5.23 * 10^-8) / 493.14 = 1.06 * 10^-10 s (Ans.)

নম্বর বণ্টনঃ

Crms = 493.14 ms^-1; নির্ণয়ের জন্য ০৩ নম্বর।
λ = 5.23 × 10^-8 m; নির্ণয়ের জন্য ০৩ নম্বর।
t = 1.06 × 10^-10 s; নির্ণয়ের জন্য ০৪ নম্বর।

[বিঃদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে। সূত্র না লিখে সরাসরি মান বসালেও গ্রহণযোগ্য হবে।]",Physics
18,1024.jpg,10.0,1023.0,"ধরি, বৃষ্টির উলম্ব উপাংশ Vy, আনুভূমিক উপাংশ Vx = 5 ms⁻¹ বেগ দ্বিগুণ করলে বৃষ্টির আপেক্ষিক বেগ, প্রশ্নমতে, tan 30° = /frac{5}{Vy} :: Vy = 5√3 বৃষ্টির বেগের মান = √5² + (5√3)² = 10 ms⁻¹ .. উলম্বের সাথে কোণ, θ = tan⁻¹(/frac{5}{5√3}) = 30° [Ans.] বিকল্প: AO = DE = 5 BO = CE = 10 ; OA = AB = 5 .. CD = 5 [∵ CD = DE] বৃষ্টির উলম্ব উপাংশ, → Vy = OD = /frac{5}{tan 30} = 5√3 .. Vr = OE = √OD² + DE² = 10 ms⁻¹ আবার, CD = DE তাই, θ = 30° বৃষ্টির উল্লম্বের সাথে 30° কোণে 10 ms⁻¹ বেগে পড়ছে। নম্বর বণ্টনঃ Vy = 5√3 ; নির্ণয় করার জন্য ০২ নম্বর। ← Vr = 10 ms⁻¹; নির্ণয় করার জন্য ০৪ নম্বর। θ = 30°; নির্ণয় করার জন্য ০৪ নম্বর। [বিদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে।]",Physics
19,1026.jpg,10.0,1025.0,"m₁u₁ + m₂u₂ = (m₁ + m₂)V₁ ⇒ 5 × 15 + 0 = 8 × V₁ ⇒ V₁ = 9.375ms⁻¹
∴ 1/2kA² = 1/2(m₁ + m₂)V₁² ⇒ 1/2 × 3000 × A² = 1/2 × 8 × 9.375²
⇒ A² = 0.2344 ⇒ A = 0.484m (Ans.)
নম্বর বণ্টনঃ
m₁u₁ + m₂u₂ = (m₁ + m₂)V₁ সূত্রের জন্য ০২ নম্বর।
মান বসানোর জন্য ০২ নম্বর।
V₁ = 9.375ms⁻¹ নির্ণয় করার জন্য ০৩ নম্বর।
A = 0.484m নির্ণয় করার জন্য ০৩ নম্বর।
[বিদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে। সূত্র না লিখে সরাসরি মান বসালেও গ্রহণযোগ্য হবে।]",Physics
22,1032.jpg,4.0,1031.0,"তীর বরাবর স্পীডবোট ও চোরের দূরত্ব সমান।
40t = 20t + \frac{acos 30°t^2}{2}  .. acos 30°t = 40... (i) 100 = \frac{asin 30°t^2}{2} ... (ii) (ii) ÷ (i) ⇒ tan 30°t = \frac{200}{40} .. t = 5\sqrt{3}s
[Ans.]
নম্বর বণ্টনঃ
acos 30°t = 40 ; নির্ণয় করার জন্য ০৪ নম্বর। 100 = \frac{asin 30°t^2}{2} ; নির্ণয় করার জন্য ০৪ নম্বর।
t = 5\sqrt{3}s ; নির্ণয় করার জন্য ০২ নম্বর।
বিদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে।",Physics
23,1033.jpg,0.0,,"ধরি, সর্বোচ্চ ও সর্বনিম্ন দূরত্বে বেগ যথাক্রমে V1 ও V2
এখন, V1 × 4R = V2 × 2R [কৌণিক ভরবেগের সংরক্ষণ]
⇒ V1 × 2 = V2
শক্তির সংরক্ষণ সূত্র অনুযায়ী,
/frac{GMm}{4R} + /frac{1}{2}mv_1^2 = /frac{GMm}{2R} + /frac{1}{2}mv_2^2
⇒ /frac{GMm}{4R} + /frac{1}{2}m × v_1^2 = /frac{GMm}{2R} + /frac{1}{2}m × 4v_1^2
∴ V1 = √/frac{GM}{6R} = 3229 ms⁻¹
অনুরূপভাবে, V2 = √/frac{2GM}{3R} = 6458 ms⁻¹ [Ans.]
নম্বর বণ্টনঃ
V1 × 4R = V2 × 2R ; লেখার জন্য ০২ নম্বর।
/frac{GMm}{4R} + /frac{1}{2}mv_1^2 = /frac{GMm}{2R} + /frac{1}{2}mv_2^2 ; লেখার জন্য ০৩ নম্বর।
V1 = 3229 ms⁻¹ ; নির্ণয় করার জন্য ০৩ নম্বর।
V2 = 6458 ms⁻¹ ; নির্ণয় করার জন্য ০২ নম্বর।
বিদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে।",Physics
35,1046.jpg,10.0,,"y² = 4.2x পরাবৃত্তের এবং x² + y² = 32 বৃত্তের সাধারণ স্পর্শক y = mx + c হলে y² = 4.2x এর ক্ষেত্রে
c = \frac{a}{m} = \frac{2}{m}
এবং x² + y² = 32 এর ক্ষেত্রে
c = ± 3√m² + 1 = \frac{2}{m} = ± 3√m² + 1
⇒ \frac{4}{m²} = 9 (m² + 1) = 9m² + 9
⇒ 4 = 9m⁴ + 9m² ⇒ 9m⁴ + 9m² - 4 = 0
⇒ m² = \frac{1}{3} [∵ m² ≠ -\frac{4}{3}]
∴ m = ± \frac{1}{√3}
তাহলে, c = \frac{2}{± \frac{1}{√3}} = ± 2√3
∴ সাধারণ স্পর্শক y = -\frac{1}{√3}x + 2√3 এবং y = -\frac{1}{√3}x - 2√3
নম্বর বণ্টন:
c = \frac{2}{m} & c = ± 3√m² + 1 ; নির্ণয়ের জন্য ০৪ নম্বর।
m = ± \frac{1}{√3} ; নির্ণয়ের জন্য ০১ নম্বর।
c = ± 2√3 ; নির্ণয়ের জন্য ০১ নম্বর।
সাধারণ স্পর্শক y = -\frac{1}{√3}x + 2√3 এবং y = -\frac{1}{√3}x - 2√3 ; নির্ণয়ের জন্য ০৪ নম্বর।",Math
