question_id,image_filename,Marks,solution_image_id,solve_text,subject
28,1355.jpg,6.0,,"মিশ্রণে, [H+] = ∑(eAcid× Sacid× VAcid)-∑(eBase× Sbase× VBase)
∑ Vacid+∑ VBase

= eH₂SO₄×SH₂SO₄×VH₂SO₄ + eHCl×SHCl×VHCl - eNa₂CO₃×VNa₂CO₃×SNa₂CO₃ - eNaOH×SNaOH×VNaOH
VH₂SO₄ + VHCl + VNa₂CO₃ + VNaOH

= NH₂SO₄×VH₂SO₄ + NHCl×VHCl - eNa₂CO₃×VNa₂CO₃×SNa₂CO₃ - NNaOH×VNaOH
VH₂SO₄ + VHCl + VNa₂CO₃ + VNaOH

= 0.1×100+50×0.2-2×0.05×100-0.1×50 = 1 M
100+100+50+50       60

.. শক্তিমাত্রা, pH = -log [H+] = -log (1/60) = 1.778 (Ans.)

নম্বর বণ্টন:
[H+] = ∑(eAcid× Sacid× VAcid)-∑(eBase× SBase× VBase) ; সূত্রের জন্য ০২ নম্বর।
[H+] = 1/60 M; নির্ণয়ের জন্য ০৪ নম্বর।
pH = 1.778; নির্ণয়ের জন্য ০৪ নম্বর।
[বিঃদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে। সূত্র না লিখে সরাসরি মান বসালেও গ্রহণযোগ্য হবে।]",Chemistry
29,1356.jpg,10.0,,"P = 1.5 atm, nN₂ = 14/28 = 0.5 mol; nCH₄ = 16/16 = 1 mol; nCO₂ = 44/44 = 1 mol

PN₂ = (nN₂/(nCH₄ + nN₂ + nCO₂)) × P = (0.5/(1 + 0.5 + 1)) × 1.5 = 0.3 atm

PCH₄ = (nCH₄/(nCH₄ + nN₂ + nCO₂)) × P = (1/(1 + 0.5 + 1)) × 1.5 = 0.6 atm

PCO₂ = (nCO₂/(nCO₂ + nCH₄ + nN₂)) × P = (1/(1 + 0.5 + 1)) × 1.5 = 0.6 atm

N₂ এর আংশিক চাপ সবচেয়ে কম।

নম্বর বণ্টন:

PN₂ = 0.3 atm; নির্ণয়ের জন্য ০৩ নম্বর।
PCH₄ = 0.6 atm; নির্ণয়ের জন্য ০৩ নম্বর।
PCO₂ = 0.6 atm; নির্ণয়ের জন্য ০৩ নম্বর।
N₂ এর আংশিক চাপ সবচেয়ে কম লিখলে ০১ নম্বর।

বি.দ্রি: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে। সূত্র না লিখে সরাসরি মান বসালেও গ্রহণযোগ্য হবে।",Chemistry
30,1358.jpg,10.0,1357.0,"V = E°<sub>Zn/Zn<sup>2+</sup></sub> + E°<sub>Cu<sup>2+</sup>/Cu</sub> = 0.76 + 0.34 = 1.1V
V = IR ⇒ I = \frac{V}{R} = 1.1 A
n = \frac{It}{eF} = \frac{1.1 \times 20 \times 3600}{50 \times 2 \times 96500} mol = 8.20725 \times 10^{-3} mol
.. পরিবর্তিত ঘনমাত্রা = \frac{0.35 \times 0.25 - 8.20725 \times 10^{-3}}{0.25} M = 0.31717 M
.. CuSO<sub>4</sub> দ্রবণের ঘনমাত্রা কমবে।
নম্বর বণ্টন:
V = 1.1V; নির্ণয়ের জন্য ০২ নম্বর।
I = \frac{1.1}{50} A; নির্ণয়ের জন্য ০২ নম্বর।
n = 8.20725 \times 10^{-3}mol; নির্ণয়ের জন্য ০৩ নম্বর।
পরিবর্তিত ঘনমাত্রা = 0.31717 M; নির্ণয়ের জন্য ০৩ নম্বর।
[বিঃদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে। সূত্র না লিখে সরাসরি মান বসালেও গ্রহণযোগ্য হবে।]",Chemistry
31,1359.jpg,10.0,,"(a) 6Fe^{2+} + Cr_2O_7^{2-} + 14H^+ → 6Fe^{3+} + 2Cr^{3+} + 7H_2O
(b) Cr_2O_7^{2-} + 6Fe^{2+} + 14H^+ → 2Cr^{3+} + 6Fe^{3+} + 7H_2O
.. 1 mol K_2Cr_2O_7 = 6 mol Fe^{2+}
.. n_{K_2Cr_2O_7} = 0.02 × 20 × 10^{-3} = 4 × 10^{-4} mol
.. n_{Fe^{2+}} = 6 × 4 × 10^{-4} mol = 2.4 × 10^{-3} mol : W_{Fe^{2+}} = 0.1344 g
:: বিশুদ্ধতা = \frac{0.1344}{0.14} × 100% = 96%
নম্বর বণ্টন:
(a) 6Fe^{2+} + Cr_2O_7^{2-} + 14H^+ → 6Fe^{3+} + 2Cr^{3+} + 7H_2O ; লিখলে ০৩ নম্বর। [সমতা না করলে ০১ নম্বর কাটা যাবে।]
(b) n_{Fe^{2+}} = 2.4 × 10^{-3} mol ; নির্ণয়ের জন্য ০৩ নম্বর।
বিশুদ্ধতা = 96% ; নির্ণয়ের জন্য ০৪ নম্বর।
[বি.দ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে। সূত্র না লিখে সরাসরি মান বসালেও গ্রহণযোগ্য হবে।]",Chemistry
32,1361.jpg,6.0,1360.0,"(i)  N₂Cl + KI → I + KCl + N₂
(ii)  OH + NH₃ → NH₂ + H₂O
(iii) CH₃-C-NH₂ + Br₂ + NaOH → CH₃-NH₂ + NaBr + Na₂CO₃ + H₂O
(iv) CH₃-CHO + Cl₂ → CCl₃-CHO + HCl
নম্বর বণ্টন:
৪টির উত্তর করলে (২.৫× ৪) = ১০ নম্বর।",Chemistry
33,1362.jpg,10.0,,"দেওয়া আছে, Mo₂ = 32, to₂ = 80 sec, tmixture = 85 sec
Xo₂= 0.8, Xunknown = 0.2, Munknown = W
Mmixture = X02 × MO₂ + Xunknown × Munknown = 0.8 × 32 + 0.2 × W = 25.6 + 0.2 × W
We know, √(Mo₂/Mmixture) = (to₂/tmixture) ⇒ Mo₂/Mmixture = (to₂/tmixture)² ⇒ 32/(0.2W + 25.6) = (80/85)²
⇒ 0.2W + 25.6 = 36.125 ⇒ 0.2W = 10.525 ⇒ W = 52.625g (Ans.)
.. নির্ণেয় অজানা গ্যাসের আণবিক ভর = 52.625
নম্বর বণ্টন:
Mmixture = X02 × MO₂ + Xunknown × Munknown; সূত্রের জন্য ০১ নম্বর।
Mmixture = 25.6 + 0.2 × W; নির্ণয়ের জন্য ০৪ নম্বর।
√(Mo₂/Mmixture) = (to₂/tmixture); সূত্রের জন্য ০১ নম্বর।
অজানা গ্যাসের আণবিক ভর = 52.625; নির্ণয়ের জন্য ০৪ নম্বর।
[বিঃদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে। সূত্র না লিখে সরাসরি মান বসালেও গ্রহণযোগ্য হবে।]",Chemistry
34,1363.jpg,10.0,,"(a) NaF > NaCl > NaBr > NaI
(b) BeCl2 > CH4 > NH3 > H2O
(c) Cs > Rb > K > Na > Li
(d) AgF > AgCl > AgBr > AgI
নম্বর বণ্টন:
সঠিকভাবে ক্রমানুসারে সাজানোর জন্য (২.৫ × ০৪) = ১০ নম্বর।
[বিঃদ্র: বিকল্প উত্তর গ্রহণযোগ্য নয়।]",Chemistry
35,1364.jpg,10.0,,"(a) N2O4  ⇌ 2NO2;  Kp = \frac{P_{NO_2}^2}{P_{N_2O_4}} = \frac{(0.31)^2}{0.69} = 0.139

Kp = Kc(RT)^Δn ⇒ Kc = \frac{0.139 \ mol \ L^{-1}}{(0.0821 \times 298)^{2-1}} = 5.69 \times 10^{-3}

(b) Kp = \frac{4\alpha^2 P}{1-\alpha^2} ⇒ \frac{4\alpha^2}{1-\alpha^2} = \frac{Kp}{P} = \frac{Kp}{P_{N_2O_4}+P_{NO_2}} = \frac{0.139}{(0.31+0.69)} ; α = 0.183 = 18.3%

নম্বর বণ্টন:

(a) Kp = 0.139; নির্ণয়ের জন্য ০৩ নম্বর।

Kc = 5.69 × 10-3; নির্ণয়ের জন্য ০৩ নম্বর।

(b) α = 0.183 = 18.3%; নির্ণয়ের জন্য ০৪ নম্বর।

[বিঃদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে। সূত্র না লিখে সরাসরি মান বসালেও গ্রহণযোগ্য হবে।]",Chemistry
36,1365.jpg,4.0,,"(a) CaCO3 + 2HCl → CaCl2 + H2O + CO2;
CaCl₂ → প্রশম
2NaOH + CO2 → Na2CO3+ H2O; CO₂ → অম্লধর্মী
(b) 2CuSO4+ 4KI → 2K2SO4 + Cu2I2+ I2
I2+ 2Na2S2O3 → Na2S4O6 + 2NaI
180°C
(c) 2NaHCO3 → Na2CO3 + H2O + CO2
Δ
(d) Na2CO3 + SiO2 → Na2SiO3 + CO2
নম্বর বণ্টন:
৪টির উত্তর করলে (২.৫× ৪) = ১০ নম্বর।",Chemistry
37,1366.jpg,10.0,,"AgCl = Ag⁺ + Cl⁻; Ksp = S²
∴S = √Ksp = √1 × 10⁻¹⁰ = 10⁻⁵mol/L
.. [Ag⁺] = [Cl⁻] = 10⁻⁵M
দ্রবণে, [Ag⁺] = 10⁻⁵M; [Br⁻] = 0.030 M
NaBr → Na⁺ + Br⁻
.. [Br⁻] = [Na⁺] = 0.030M
AgBr = Ag⁺ + Br⁻; Ksp = S²
S = √Ksp = √5 × 10⁻¹³ = 7.07 × 10⁻⁷M
দ্রবণে Ag⁺ ও Br⁻ আয়নের পরিমাণ সাম্যাবস্থায় পরিমাণ অপেক্ষা বেশি। তাই AgBr অধঃক্ষেপ তৈরি হবে।
বিকল্প:
AgCl = Ag⁺ + Cl⁻; Ksp = S²
∴S = √Ksp = √1 × 10⁻¹⁰ = 10⁻⁵mol/L
.. [Ag⁺] = [Cl⁻] = 10⁻⁵M
Kip(AgBr) = (/fraction{10⁻⁵ × 100}{200}) × (/fraction{0.030 × 100}{200}) = 7.5 × 10⁻⁸
.. Kip(AgBr) > Ksp(AgBr)
.. AgBr অধঃক্ষেপ তৈরি হবে।
নম্বর বণ্টন:
S = 10⁻⁵mol/L; নির্ণয়ের জন্য ০৪ নম্বর।
S = 7.07 × 10⁻⁷M; নির্ণয়ের জন্য ০৪ নম্বর।
AgBr এর অধঃক্ষেপ তৈরি হবে লিখলে ০২ নম্বর।
বিঃদ্রঃ একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে।",Chemistry
